date,mkt,name,offer,price,shares,symbol
7/3/2018,NASDAQ Capital,ALLEGRO MERGER CORP.,"$130,000,000",$10,"13,000,000",ALGRU
6/29/2018,NASDAQ Global,"DOMO, INC.","$193,200,000",$21,"9,200,000",DOMO
6/28/2018,NYSE,"BJ'S WHOLESALE CLUB HOLDINGS, INC.","$637,500,000",$17,"37,500,000",BJ
6/28/2018,NYSE,"BRIGHTVIEW HOLDINGS, INC.","$468,600,000",$22,"21,300,000",BV
6/28/2018,NASDAQ Capital,ENTERA BIO LTD.,"$11,200,000",$8,"1,400,000",ENTX
6/28/2018,NASDAQ Global,"EVERQUOTE, INC.","$84,375,000",$18,"4,687,500",EVER
6/28/2018,NASDAQ Capital,HL ACQUISITIONS CORP.,"$50,000,000",$10,"5,000,000",HCCHU
6/28/2018,NASDAQ Global,"FORTY SEVEN, INC.","$112,560,000",$16,"7,035,000",FTSV
6/28/2018,NYSE,NEW FRONTIER CORP,"$250,000,000",$10,"25,000,000",NFC'U
6/28/2018,NASDAQ Global,"NEURONETICS, INC.","$93,500,000",$17,"5,500,000",STIM
6/28/2018,NASDAQ Global Select,"TRANSLATE BIO, INC.","$121,550,000",$13,"9,350,000",TBIO
6/28/2018,NASDAQ Global Select,"TRICIDA, INC.","$222,300,000",$19,"11,700,000",TCDA
6/27/2018,NASDAQ Global Select,UXIN LTD,"$225,000,000",$9,"25,000,000",UXIN
6/27/2018,NASDAQ Global Select,"NEON THERAPEUTICS, INC.","$100,000,000",$16,"6,250,000",NTGN
6/27/2018,NASDAQ Global,LOVESAC CO,"$56,000,000",$16,"3,500,000",LOVE
6/27/2018,NASDAQ Capital,HYRECAR INC.,"$12,600,000",$5,"2,520,000",HYRE
6/26/2018,NYSE Arca,WORLD GOLD TRUST,"$1,038,400,000",$12.98,"80,000,000",GLDM
6/22/2018,NASDAQ Global,"ELECTROCORE, INC.","$78,000,000",$15,"5,200,000",ECOR
6/22/2018,NASDAQ Global Select,AUTOLUS THERAPEUTICS PLC,"$150,000,010",$17,"8,823,530",AUTL
6/21/2018,NASDAQ Global Select,APTINYX INC.,"$102,399,984",$16,"6,399,999",APTX
6/21/2018,NASDAQ Global Select,"I3 VERTICALS, INC.","$86,450,000",$13,"6,650,000",IIIV
6/21/2018,NASDAQ Global Select,"KEZAR LIFE SCIENCES, INC.","$75,000,000",$15,"5,000,000",KZR
6/21/2018,NYSE,"ESSENTIAL PROPERTIES REALTY TRUST, INC.","$455,000,000",$14,"32,500,000",EPRT
6/21/2018,NASDAQ Global,"MAGENTA THERAPEUTICS, INC.","$100,000,005",$15,"6,666,667",MGTA
6/21/2018,NASDAQ Global Select,"AVROBIO, INC.","$99,711,202",$19,"5,247,958",AVRO
6/21/2018,NASDAQ Global Select,XERIS PHARMACEUTICALS INC,"$85,500,000",$15,"5,700,000",XERS
6/20/2018,NASDAQ Capital,TWELVE SEAS INVESTMENT CO,"$180,000,000",$10,"18,000,000",TWLVU
6/20/2018,NASDAQ Capital,LF CAPITAL ACQUISITION CORP.,"$135,000,000",$10,"13,500,000",LFACU
6/20/2018,NASDAQ Global Select,"EIDOS THERAPEUTICS, INC.","$106,250,000",$17,"6,250,000",EIDX
6/19/2018,NASDAQ Global Select,THUNDER BRIDGE ACQUISITION LTD,"$225,000,000",$10,"22,500,000",TBRGU
6/15/2018,NASDAQ Global,VERRICA PHARMACEUTICALS INC.,"$75,000,000",$15,"5,000,000",VRCA
6/15/2018,NYSE,PUXIN LTD,"$122,400,000",$17,"7,200,000",NEW
6/15/2018,NYSE,AVALARA INC,"$180,000,000",$24,"7,500,000",AVLR
6/14/2018,NYSE,"CHARAH SOLUTIONS, INC.","$88,235,292",$12,"7,352,941",CHRA
6/14/2018,NYSE,US XPRESS ENTERPRISES INC,"$288,896,000",$16,"18,056,000",USX
6/12/2018,NYSE,FAR POINT ACQUISITION CORP,"$550,000,000",$10,"55,000,000",FPACU
6/8/2018,NASDAQ Global Select,MEIRAGTX HOLDINGS PLC,"$75,000,000",$15,"5,000,000",MGTX
